RepRisk_ID,name,headquarter_country,code
10018,Kangmei Pharmaceutical Co Ltd,China,600518.SH
100195,Jiangsu Xiuqiang Glasswork Co Ltd,China,300160.SZ
100380,Henan Dayou Energy Co Ltd (DYEG),China,600403.SH
100436,Joyvio Agriculture Development Co Ltd (formerly known as Wanfu Biotechnology Hunan Agricultural Development Co Ltd),China,300268.SZ
10069,AAC Technologies Holdings Inc (formerly AAC Acoustic Technologies Holdings Inc),China,2018.HKG
10072,Sinotrans Ltd,China,0598.HKG
10074,Xinjiang Zhongtai Chemical Co Ltd,China,002092.SZ
10081,Yingkou Port Liability Co Ltd,China,600317.SH
10087,XTEP International Holdings Ltd,China,1368.HKG
10088,Huadong Medicine Co Ltd,China,000963.SZ
10100,Zhengzhou Yutong Bus Co Ltd,China,600066.SH
10121,Beijing Hualian Hypermarket Co Ltd,China,600361.SH
10125,Tianjin Faw Xiali Automobile Co Ltd,China,000927.SZ
10156,Lianhua Supermarket Holdings Co Ltd,China,0980.HKG
10157,China Minmetals Rare Earth Co Ltd (formerly Shanxi Guanlu Co Ltd),China,000831.SZ
10165,Avicopter PLC (formerly Hafei Aviation Industry Co Ltd),China,600038.SH
10186,Nantong Jiangshan Agrochemical & Chemical Co Ltd (JSAC),China,600389.SH
1019,China Nuclear Engineering Corp Ltd (CNECC),China,601611.SH
10214,Dalian Dafu Enterprises Holding Co Ltd (formerly Dalian Daxian Enterprises Holding),China,
10241,Tianjin Reality Development Group Co Ltd (formerly Tianjin Construction Development),China,600322.SH
10262,China Nepstar Chain Drugstore Ltd,China,
10267,Hubei Biocause Pharmaceutical Co Ltd,China,000627.SZ
10284,Foshan Electrical & Lighting Co Ltd,China,000541.SZ
10292,Guangdong Yihua Timber Industry Co Ltd,China,
103092,Zhejiang Hoshine Silicon Industry Co Ltd,China,603260.SH
10338,Double Coin Holdings Ltd (formerly known as Shanghai Tyre and Rubber Group Co),China,600623.SH
10350,Anhui Jianghuai Automobile Co Ltd (JAC Motors),China,600418.SH
